rating,track_1,artist_1,album_1,uri_1,track_2,artist_2,album_2,uri_2,is_pop
0.0,Is There Somebody Who Can Watch You,The 1975,,spotify:track:0d9J4kIbiCtwY5voEvprpy,Come Hang Out,AJR,,spotify:track:5bMUqGFDXZDFCEouayAVU5,
0.0,Heroes (we could be),Alesso,,spotify:track:0VYQK5I08homNvX8SRS37R,Remembering Sunday,All Time Low,,spotify:track:5wfy4RalC2K42QXlltpxJE,
0.0,Damn Girl,The All-American Rejects,,spotify:track:6XQT1dD3kNbtRShuwLzk6L,Left Hand Free,alt-J,,spotify:track:4iEOVEULZRvmzYSZY2ViKN,1
0.0,Can You Hear Me?,Amber Mark,,spotify:track:7EylApIgCvOGodzaRV35Hy,Alarm,Anne-Marie,,spotify:track:0OwX5aROoW1Iip8FV51Efg,
0.0,Vanessa,Lostboycrow,,spotify:track:6m91TjjfAUv4D7rBFNB04o,Bad Girls,M.I.A.,,spotify:track:6nzXkCBOhb2mxctNihOqbb,
0.0,Bad Girls,M.I.A.,,spotify:track:6nzXkCBOhb2mxctNihOqbb,Only Hope,Mandy Moore,,spotify:track:3XpgLBx3TGuDIFV5gUaR0w,
0.0,Only Hope,Mandy Moore,,spotify:track:3XpgLBx3TGuDIFV5gUaR0w,Wicked,mansionz,,spotify:track:4wFHz9UQtuXUgbhy7cn8qk,
0.0,I Believe in You,Michael Buble,,spotify:track:67aeyMdt7cgb8l9zg53Pfm,Electric Feel,MGMT,,spotify:track:3FtYbEfBqAlGO46NUDQSAt,
0.0,Are You Happy Now?,Michelle Branch,,spotify:track:3hyf4jApD6s2M9KgcG4aJQ,Sober,Dillistone,,spotify:track:55XDt8kNRfoArrEk8hdFzp,
0.0,Kamikaze,MO,,spotify:track:6TjP1C3sGQH1jBfzUXfcMg,Reckless Love,Cory Asbury,,spotify:track:0rH0mprtecH3grD9HFM5AD,
0.0,Little Lion Man,Mumford & Sons,,spotify:track:2BBkIgdXLv5vyp1DR0wpQl,Dance Hall Blues,Myzica,,spotify:track:4a7MD5Q3IKEmdShFPvvICB,
