,acousticness_1,danceability_1,energy_1,instrumentalness_1,liveness_1,loudness_1,mode_1,speechiness_1,tempo_1,time_signature_1,type_1,valence_1,acousticness_2,danceability_2,energy_2,instrumentalness_2,liveness_2,loudness_2,mode_2,speechiness_2,tempo_2,time_signature_2,type_2,valence_2
0,0.26,0.428,0.448,5.46e-05,0.167,-9.077,1,0.0255,97.605,4,audio_features,0.576,0.141,0.65,0.453,0.00157,0.248,-8.977,1,0.0307,97.18,4,audio_features,0.875
0,0.157,0.651,0.861,0.0181,0.127,-5.065,1,0.0347,122.903,4,audio_features,0.544,0.0354,0.615,0.913,0.0149,0.193,-5.576,1,0.0358,108.468,4,audio_features,0.717
0,0.0312,0.489,0.581,0.0,0.132,-5.731,1,0.0281,86.016,4,audio_features,0.494,0.356,0.616,0.438,0.0,0.24,-5.968,1,0.0298,135.929,4,audio_features,0.386
0,0.0452,0.645,0.84,0.0,0.327,-5.894,1,0.0518,151.94,4,audio_features,0.805,0.0685,0.615,0.632,0.0,0.108,-5.382,1,0.0374,152.035,4,audio_features,0.56
0,0.156,0.774,0.765,0.0,0.0373,-5.439,0,0.0502,119.001,4,audio_features,0.917,0.0642,0.893,0.745,0.0,0.0943,-3.105,0,0.0571,101.018,4,audio_features,0.872
0,0.0021,0.774,0.75,1.85e-05,0.0808,-4.927,0,0.0413,118.015,4,audio_features,0.925,0.558,0.611,0.462,1.01e-06,0.131,-7.054,1,0.0646,59.635,4,audio_features,0.377
0,0.485,0.652,0.0475,0.231,0.143,-27.987,1,0.17,59.608,3,audio_features,0.607,0.179,0.515,0.663,0.668,0.494,-7.896,0,0.0328,120.024,4,audio_features,0.0756
0,0.689,0.157,0.619,0.934,0.12,-8.634,0,0.047,86.427,4,audio_features,0.144,0.186,0.699,0.888,4.15e-06,0.114,-4.002,0,0.079,110.965,4,audio_features,0.449
0,0.186,0.699,0.888,4.15e-06,0.114,-4.002,0,0.079,110.965,4,audio_features,0.449,0.0537,0.633,0.793,0.0,0.16,-4.126,1,0.055,103.97,4,audio_features,0.414
0,0.0537,0.633,0.793,0.0,0.16,-4.126,1,0.055,103.97,4,audio_features,0.414,0.142,0.537,0.81,1.4e-05,0.12,-7.222,1,0.0698,152.996,4,audio_features,0.547
0,0.142,0.537,0.81,1.4e-05,0.12,-7.222,1,0.0698,152.996,4,audio_features,0.547,0.0407,0.482,0.694,0.0559,0.102,-6.726,1,0.0673,122.542,4,audio_features,0.285
0,0.122,0.654,0.772,6.27e-05,0.219,-5.169,1,0.0589,103.999,4,audio_features,0.452,0.0794,0.505,0.734,0.417,0.102,-5.635,0,0.039,107.009,4,audio_features,0.185
0,0.713,0.629,0.53,0.0274,0.412,-9.943,0,0.0556,99.806,4,audio_features,0.78,0.131,0.361,0.468,9.78e-06,0.175,-5.276,0,0.0343,150.572,3,audio_features,0.04
0,0.131,0.361,0.468,9.78e-06,0.175,-5.276,0,0.0343,150.572,3,audio_features,0.04,0.128,0.626,0.423,0.0,0.18,-6.035,1,0.0513,95.162,4,audio_features,0.571
0,0.128,0.626,0.423,0.0,0.18,-6.035,1,0.0513,95.162,4,audio_features,0.571,0.0604,0.675,0.751,0.0,0.0893,-3.539,1,0.0296,118.384,4,audio_features,0.612
0,0.0961,0.523,0.477,0.000106,0.101,-9.076,1,0.0254,76.973,4,audio_features,0.249,0.013,0.649,0.888,2.23e-06,0.0888,-4.807,1,0.0293,100.975,4,audio_features,0.553
0,0.0012,0.402,0.899,1.88e-05,0.458,-4.315,1,0.0491,128.973,4,audio_features,0.292,0.00242,0.329,0.733,0.0103,0.0812,-7.164,1,0.0345,137.657,4,audio_features,0.317
0,0.435,0.151,0.389,0.961,0.228,-12.799,1,0.0373,100.702,1,audio_features,0.226,0.01,0.419,0.773,0.00418,0.269,-6.187,1,0.0305,89.954,4,audio_features,0.274
0,0.326,0.419,0.152,0.0034,0.113,-12.126,1,0.0277,80.608,4,audio_features,0.239,0.226,0.543,0.458,0.00663,0.298,-8.976,1,0.0274,84.319,4,audio_features,0.704
0,0.226,0.543,0.458,0.00663,0.298,-8.976,1,0.0274,84.319,4,audio_features,0.704,0.00101,0.647,0.487,0.285,0.138,-10.119,0,0.0689,123.444,1,audio_features,0.222
